COD_CURSO;NOME_CURSO;ANO_EVASAO;PERIODO_EVASAO;FORMA_EVASAO;COTISTA;SEXO;ET_BRANCA;ET_PRETA;ET_AMARELA;ET_PARDA;ET_INDIGINA;ET_NAO_INFORMADO;ET_NAO_DECLARADA;QTDE
16;Estatística;2017;1º Semestre;Formado;N;M;2;0;0;0;0;0;0;2
32 B;Química - Bacharelado;2017;1º Semestre;Desistência;N;M;0;0;0;0;0;0;1;1
32 B;Química - Bacharelado;2017;1º Semestre;Desistência;S;F;1;0;0;1;0;0;0;2
32 B;Química - Bacharelado;2017;1º Semestre;Desligamento por Abandono;N;F;3;0;0;2;0;0;0;5
32 B;Química - Bacharelado;2017;1º Semestre;Desligamento por Abandono;N;M;1;0;0;0;0;0;0;1
32 B;Química - Bacharelado;2017;1º Semestre;Desligamento por Abandono;S;M;0;1;0;0;0;0;0;1
32 B;Química - Bacharelado;2017;1º Semestre;Desligamento: 3 reprovações em 1 disciplina;N;F;1;0;0;0;0;0;0;1
32 B;Química - Bacharelado;2017;1º Semestre;Desligamento: 3 reprovações em 1 disciplina;N;M;1;0;0;1;0;0;0;2
32 B;Química - Bacharelado;2017;1º Semestre;Desligamento: 3 reprovações em 1 disciplina;S;M;0;0;0;1;0;0;0;1
32 B;Química - Bacharelado;2017;1º Semestre;Desligamento: Descumpriu Plano de Estudos;N;F;1;1;0;1;0;0;0;3
32 B;Química - Bacharelado;2017;1º Semestre;Desligamento: Descumpriu Plano de Estudos;N;M;1;0;0;0;0;0;0;1
32 B;Química - Bacharelado;2017;1º Semestre;Desligamento: Descumpriu Plano de Estudos;S;F;1;0;0;0;0;0;0;1
32 B;Química - Bacharelado;2017;1º Semestre;Formado;N;F;1;0;0;0;0;0;0;1
32 B;Química - Bacharelado;2017;1º Semestre;Formado;S;F;0;0;0;1;0;0;0;1
32 B;Química - Bacharelado;2017;1º Semestre;Formado;S;M;1;0;0;0;0;0;0;1
32 L;Química - Licenciatura;2017;1º Semestre;Desistência;N;F;1;0;0;1;0;0;0;2
32 L;Química - Licenciatura;2017;1º Semestre;Desistência;N;M;0;0;0;1;0;0;0;1
32 L;Química - Licenciatura;2017;1º Semestre;Desistência;S;F;2;0;0;0;0;0;0;2
32 L;Química - Licenciatura;2017;1º Semestre;Desligamento por Abandono;N;F;1;0;0;0;0;0;0;1
32 L;Química - Licenciatura;2017;1º Semestre;Desligamento por Abandono;N;M;0;1;0;2;0;0;0;3
32 L;Química - Licenciatura;2017;1º Semestre;Desligamento: Descumpriu Plano de Estudos;S;M;0;0;0;1;0;0;0;1
32 L;Química - Licenciatura;2017;1º Semestre;Formado;N;F;0;0;0;2;0;0;0;2
32 L;Química - Licenciatura;2017;1º Semestre;Formado;N;M;1;0;0;0;0;0;0;1
32 L;Química - Licenciatura;2017;1º Semestre;Formado;S;M;1;0;0;0;0;0;0;1
10 B;Física - Bacharelado;2017;2º Semestre;Desistência;N;F;0;0;0;1;0;0;0;1
10 B;Física - Bacharelado;2017;2º Semestre;Desistência;N;M;5;0;0;2;0;0;0;7
10 B;Física - Bacharelado;2017;2º Semestre;Desistência;S;M;0;0;0;2;0;0;0;2
10 B;Física - Bacharelado;2017;2º Semestre;Formado;N;M;1;0;0;2;0;0;0;3
10 B;Física - Bacharelado;2017;2º Semestre;Formado;S;M;0;0;0;2;0;0;0;2
10 B;Física - Bacharelado;2017;2º Semestre;Reopção de curso;N;M;1;0;0;1;0;0;0;2
10 L;Física - Licenciatura;2017;2º Semestre;Desistência;N;M;1;0;0;0;0;0;0;1
10 L;Física - Licenciatura;2017;2º Semestre;Formado;N;M;2;0;0;2;0;0;1;5
10 L;Física - Licenciatura;2017;2º Semestre;Formado;S;M;0;0;0;2;0;0;0;2
10 L;Física - Licenciatura;2017;2º Semestre;Reopção de curso;N;M;1;0;0;0;0;0;0;1
10 L;Física - Licenciatura;2017;2º Semestre;Reopção de curso;S;M;0;0;0;1;0;0;0;1
12;Matemática;2017;2º Semestre;Desistência;N;F;2;0;0;0;0;0;0;2
12;Matemática;2017;2º Semestre;Desistência;N;M;2;0;0;0;0;0;0;2
12;Matemática;2017;2º Semestre;Desistência;S;M;2;0;0;0;0;0;0;2
12;Matemática;2017;2º Semestre;Reopção de curso;N;M;3;0;0;0;0;0;0;3
12 B;Matemática - Bacharelado;2017;2º Semestre;Formado;N;F;1;0;0;0;0;0;0;1
12 B;Matemática - Bacharelado;2017;2º Semestre;Formado;N;M;1;0;0;1;0;0;0;2
12 L;Matemática - Licenciatura;2017;2º Semestre;Desistência;N;M;0;0;0;1;0;0;0;1
12 L;Matemática - Licenciatura;2017;2º Semestre;Formado;N;F;1;1;0;1;0;0;0;3
12 L;Matemática - Licenciatura;2017;2º Semestre;Formado;N;M;1;0;0;0;0;0;0;1
12 L;Matemática - Licenciatura;2017;2º Semestre;Formado;S;F;1;0;1;1;0;0;0;3
16;Estatística;2017;2º Semestre;Desistência;N;F;0;0;0;1;0;0;0;1
16;Estatística;2017;2º Semestre;Formado;N;M;1;0;0;1;0;0;0;2
32 B;Química - Bacharelado;2017;2º Semestre;Desistência;N;M;3;1;0;0;0;0;0;4
32 B;Química - Bacharelado;2017;2º Semestre;Desistência;S;F;1;1;0;1;0;0;0;3
32 B;Química - Bacharelado;2017;2º Semestre;Formado;N;F;5;1;0;2;0;0;0;8
32 B;Química - Bacharelado;2017;2º Semestre;Formado;N;M;2;0;0;1;0;0;0;3
32 B;Química - Bacharelado;2017;2º Semestre;Formado;S;F;0;1;0;0;0;0;0;1
32 B;Química - Bacharelado;2017;2º Semestre;Formado;S;M;2;0;0;0;0;0;0;2
32 B;Química - Bacharelado;2017;2º Semestre;Nulidade da matrícula - ato administrativo;S;F;1;0;0;0;0;0;0;1
32 L;Química - Licenciatura;2017;2º Semestre;Desistência;N;F;1;0;0;0;0;0;0;1
32 L;Química - Licenciatura;2017;2º Semestre;Desistência;N;M;3;0;0;0;0;0;0;3
32 L;Química - Licenciatura;2017;2º Semestre;Desistência;S;F;0;0;0;1;0;0;0;1
32 L;Química - Licenciatura;2017;2º Semestre;Formado;N;F;1;0;0;0;0;0;0;1
32 L;Química - Licenciatura;2017;2º Semestre;Formado;S;F;0;0;0;0;0;0;1;1
32 L;Química - Licenciatura;2017;2º Semestre;Formado;S;M;0;0;0;1;0;0;0;1
10 B;Física - Bacharelado;2018;1º Semestre;Desistência;N;F;3;0;0;0;0;0;0;3
10 B;Física - Bacharelado;2018;1º Semestre;Desistência;N;M;3;0;0;2;0;0;0;5
10 B;Física - Bacharelado;2018;1º Semestre;Desistência;S;F;0;1;0;1;0;0;0;2
10 B;Física - Bacharelado;2018;1º Semestre;Desistência;S;M;0;0;0;1;0;0;0;1
10 B;Física - Bacharelado;2018;1º Semestre;Formado;N;F;1;0;0;1;0;0;0;2
10 B;Física - Bacharelado;2018;1º Semestre;Formado;N;M;2;0;0;1;0;0;0;3
10 B;Física - Bacharelado;2018;1º Semestre;Nulidade da matrícula - ato administrativo;S;F;1;0;0;0;0;0;0;1
10 B;Física - Bacharelado;2018;1º Semestre;Reopção de curso;N;F;1;0;0;1;0;0;0;2
10 B;Física - Bacharelado;2018;1º Semestre;Reopção de curso;S;M;1;0;0;0;0;0;0;1
10 L;Física - Licenciatura;2018;1º Semestre;Desistência;N;M;0;1;0;2;0;0;1;4
10 L;Física - Licenciatura;2018;1º Semestre;Desistência;S;M;2;0;1;0;0;0;0;3
10 L;Física - Licenciatura;2018;1º Semestre;Desligamento: Resolução 68/2017-CEPE;N;M;1;0;0;0;0;0;0;1
10 L;Física - Licenciatura;2018;1º Semestre;Reopção de curso;N;F;1;0;0;0;0;0;0;1
10 L;Física - Licenciatura;2018;1º Semestre;Reopção de curso;N;M;1;0;0;0;0;0;0;1
10 L;Física - Licenciatura;2018;1º Semestre;Reopção de curso;S;F;1;0;0;0;0;0;0;1
10 L;Física - Licenciatura;2018;1º Semestre;Reopção de curso;S;M;0;0;0;1;0;0;0;1
12;Matemática;2018;1º Semestre;Desistência;N;M;3;1;0;3;0;0;0;7
12;Matemática;2018;1º Semestre;Desistência;S;F;3;0;0;0;0;0;0;3
12;Matemática;2018;1º Semestre;Desistência;S;M;0;0;0;3;0;0;0;3
12 B;Matemática - Bacharelado;2018;1º Semestre;Formado;S;M;0;0;0;1;0;0;0;1
12 B;Matemática - Bacharelado;2018;1º Semestre;Reopção de curso;S;F;0;0;0;1;0;0;0;1
12 B;Matemática - Bacharelado;2018;1º Semestre;Reopção de curso;S;M;1;0;0;0;0;0;0;1
12 L;Matemática - Licenciatura;2018;1º Semestre;Formado;N;F;0;1;0;1;0;0;0;2
12 L;Matemática - Licenciatura;2018;1º Semestre;Formado;N;M;1;0;0;1;0;0;0;2
12 L;Matemática - Licenciatura;2018;1º Semestre;Formado;S;M;0;0;0;1;0;0;0;1
16;Estatística;2018;1º Semestre;Desistência;N;M;0;0;0;0;0;0;1;1
16;Estatística;2018;1º Semestre;Desligamento: Resolução 68/2017-CEPE;N;F;1;0;0;0;0;0;0;1
16;Estatística;2018;1º Semestre;Desligamento: Resolução 68/2017-CEPE;N;M;0;0;0;1;0;0;0;1
16;Estatística;2018;1º Semestre;Formado;N;F;1;0;0;1;0;0;0;2
16;Estatística;2018;1º Semestre;Formado;N;M;2;0;0;1;0;0;0;3
16;Estatística;2018;1º Semestre;Reopção de curso;N;F;0;0;0;1;0;0;0;1
16;Estatística;2018;1º Semestre;Reopção de curso;N;M;1;0;0;1;0;0;0;2
32 B;Química - Bacharelado;2018;1º Semestre;Desistência;N;F;1;0;0;0;0;0;0;1
32 B;Química - Bacharelado;2018;1º Semestre;Desistência;N;M;2;0;0;0;0;0;0;2
32 B;Química - Bacharelado;2018;1º Semestre;Desistência;S;F;1;0;0;1;0;0;0;2
32 B;Química - Bacharelado;2018;1º Semestre;Desistência;S;M;0;0;0;1;0;0;1;2
32 B;Química - Bacharelado;2018;1º Semestre;Desligamento: Resolução 68/2017-CEPE;N;F;2;2;0;1;0;0;0;5
32 B;Química - Bacharelado;2018;1º Semestre;Desligamento: Resolução 68/2017-CEPE;N;M;1;0;0;0;0;0;0;1
32 B;Química - Bacharelado;2018;1º Semestre;Formado;N;F;4;0;0;0;0;0;0;4
32 B;Química - Bacharelado;2018;1º Semestre;Formado;N;M;0;0;0;1;0;0;0;1
32 B;Química - Bacharelado;2018;1º Semestre;Formado;S;F;1;1;0;1;0;0;0;3
32 B;Química - Bacharelado;2018;1º Semestre;Formado;S;M;0;0;0;1;0;0;0;1
32 B;Química - Bacharelado;2018;1º Semestre;Remanejamento SISU;N;M;1;0;0;0;0;0;0;1
32 B;Química - Bacharelado;2018;1º Semestre;Reopção de curso;N;F;0;0;1;0;0;0;0;1
32 B;Química - Bacharelado;2018;1º Semestre;Reopção de curso;N;M;1;0;0;0;0;0;0;1
32 L;Química - Licenciatura;2018;1º Semestre;Desistência;N;F;0;0;0;2;0;0;0;2
32 L;Química - Licenciatura;2018;1º Semestre;Desistência;N;M;1;0;0;0;0;0;0;1
32 L;Química - Licenciatura;2018;1º Semestre;Desligamento: Resolução 68/2017-CEPE;N;F;1;0;0;0;0;0;0;1
32 L;Química - Licenciatura;2018;1º Semestre;Desligamento: Resolução 68/2017-CEPE;N;M;1;0;0;0;0;0;0;1
32 L;Química - Licenciatura;2018;1º Semestre;Formado;N;F;1;0;0;2;0;0;0;3
32 L;Química - Licenciatura;2018;1º Semestre;Formado;N;M;0;1;0;1;0;0;0;2
32 L;Química - Licenciatura;2018;1º Semestre;Reopção de curso;S;F;0;0;0;1;0;0;0;1
10 B;Física - Bacharelado;2018;2º Semestre;Desistência;N;F;2;0;0;1;0;0;0;3
10 B;Física - Bacharelado;2018;2º Semestre;Desistência;N;M;2;0;0;0;0;0;0;2
10 B;Física - Bacharelado;2018;2º Semestre;Desistência;S;M;1;0;0;3;0;0;0;4
10 B;Física - Bacharelado;2018;2º Semestre;Desligamento: Resolução 68/2017-CEPE;N;F;1;0;0;0;0;0;0;1
10 B;Física - Bacharelado;2018;2º Semestre;Formado;N;F;1;0;0;0;0;0;0;1
10 B;Física - Bacharelado;2018;2º Semestre;Formado;N;M;3;2;0;1;0;0;0;6
10 B;Física - Bacharelado;2018;2º Semestre;Formado;S;M;2;0;0;1;0;0;0;3
10 L;Física - Licenciatura;2018;2º Semestre;Desistência;N;F;1;0;0;1;0;0;0;2
10 L;Física - Licenciatura;2018;2º Semestre;Desistência;N;M;0;0;0;4;0;0;0;4
10 L;Física - Licenciatura;2018;2º Semestre;Desistência;S;M;0;0;0;1;0;0;0;1
10 L;Física - Licenciatura;2018;2º Semestre;Formado;N;M;2;1;0;0;0;0;0;3
12;Matemática;2018;2º Semestre;Desistência;N;F;1;0;0;1;0;0;0;2
12;Matemática;2018;2º Semestre;Desistência;N;M;3;0;0;0;0;0;0;3
12;Matemática;2018;2º Semestre;Desistência;S;F;1;0;0;1;0;0;0;2
12;Matemática;2018;2º Semestre;Desistência;S;M;1;0;0;2;0;0;0;3
12;Matemática;2018;2º Semestre;Desligamento: Resolução 68/2017-CEPE;N;M;1;0;0;0;0;0;0;1
12 B;Matemática - Bacharelado;2018;2º Semestre;Formado;N;F;1;0;0;0;0;0;0;1
12 B;Matemática - Bacharelado;2018;2º Semestre;Formado;N;M;0;0;0;2;0;0;0;2
12 B;Matemática - Bacharelado;2018;2º Semestre;Formado;S;M;1;0;0;0;0;0;0;1
12 L;Matemática - Licenciatura;2018;2º Semestre;Formado;N;F;1;1;0;2;0;0;0;4
12 L;Matemática - Licenciatura;2018;2º Semestre;Formado;N;M;0;0;0;1;0;0;0;1
12 L;Matemática - Licenciatura;2018;2º Semestre;Formado;S;F;0;0;0;3;0;0;0;3
12 L;Matemática - Licenciatura;2018;2º Semestre;Formado;S;M;0;0;1;1;0;0;0;2
16;Estatística;2018;2º Semestre;Desistência;N;M;1;0;0;0;0;0;0;1
16;Estatística;2018;2º Semestre;Desistência;S;F;0;0;0;1;0;0;0;1
16;Estatística;2018;2º Semestre;Formado;N;F;1;0;0;0;0;0;0;1
16;Estatística;2018;2º Semestre;Formado;S;F;0;0;0;1;0;0;0;1
32 B;Química - Bacharelado;2018;2º Semestre;Desistência;N;F;3;0;0;0;0;0;0;3
32 B;Química - Bacharelado;2018;2º Semestre;Desistência;S;F;1;1;0;1;0;0;1;4
32 B;Química - Bacharelado;2018;2º Semestre;Desistência;S;M;0;0;0;2;0;0;0;2
32 B;Química - Bacharelado;2018;2º Semestre;Formado;N;F;1;1;0;1;0;0;0;3
32 B;Química - Bacharelado;2018;2º Semestre;Formado;N;M;1;2;0;2;0;0;1;6
32 B;Química - Bacharelado;2018;2º Semestre;Formado;S;F;0;1;0;2;0;0;0;3
32 B;Química - Bacharelado;2018;2º Semestre;Formado;S;M;1;0;0;1;0;0;0;2
32 L;Química - Licenciatura;2018;2º Semestre;Desistência;N;F;2;0;0;0;0;0;0;2
32 L;Química - Licenciatura;2018;2º Semestre;Desistência;N;M;1;0;0;0;0;0;0;1
32 L;Química - Licenciatura;2018;2º Semestre;Desistência;S;F;0;1;0;0;0;0;0;1
32 L;Química - Licenciatura;2018;2º Semestre;Desistência;S;M;0;1;0;0;0;0;0;1
32 L;Química - Licenciatura;2018;2º Semestre;Formado;S;F;0;1;0;2;0;0;0;3
10 B;Física - Bacharelado;2019;1º Semestre;Desistência;N;F;3;0;0;3;0;0;0;6
10 B;Física - Bacharelado;2019;1º Semestre;Desistência;N;M;6;1;0;2;0;0;0;9
10 B;Física - Bacharelado;2019;1º Semestre;Desistência;S;F;1;0;0;5;0;0;0;6
10 B;Física - Bacharelado;2019;1º Semestre;Desistência;S;M;4;3;0;3;0;0;0;10
10 B;Física - Bacharelado;2019;1º Semestre;Desistência;S;N;1;0;0;0;0;0;0;1
10 B;Física - Bacharelado;2019;1º Semestre;Desligamento: Resolução 68/2017-CEPE;N;M;2;0;0;0;0;0;0;2
10 B;Física - Bacharelado;2019;1º Semestre;Formado;N;F;1;0;0;0;0;0;0;1
10 B;Física - Bacharelado;2019;1º Semestre;Formado;N;M;1;0;0;1;0;0;0;2
10 B;Física - Bacharelado;2019;1º Semestre;Reopção de curso;N;F;0;0;0;1;0;0;0;1
10 B;Física - Bacharelado;2019;1º Semestre;Reopção de curso;N;M;0;1;0;0;0;0;0;1
10 B;Física - Bacharelado;2019;1º Semestre;Reopção de curso;S;F;0;0;0;1;0;0;0;1
10 B;Física - Bacharelado;2019;1º Semestre;Reopção de curso;S;M;2;0;0;1;0;0;0;3
10 L;Física - Licenciatura;2019;1º Semestre;Desistência;N;F;3;0;0;0;0;0;0;3
10 L;Física - Licenciatura;2019;1º Semestre;Desistência;N;M;1;0;0;2;0;0;0;3
10 L;Física - Licenciatura;2019;1º Semestre;Desistência;S;F;0;1;1;1;0;0;1;4
10 L;Física - Licenciatura;2019;1º Semestre;Desistência;S;M;1;0;0;1;0;0;0;2
10 L;Física - Licenciatura;2019;1º Semestre;Desligamento: Resolução 68/2017-CEPE;N;F;0;1;0;0;0;0;0;1
10 L;Física - Licenciatura;2019;1º Semestre;Desligamento: Resolução 68/2017-CEPE;N;M;1;0;0;4;0;0;0;5
10 L;Física - Licenciatura;2019;1º Semestre;Desligamento: Resolução 68/2017-CEPE;S;M;2;0;0;0;0;0;0;2
10 L;Física - Licenciatura;2019;1º Semestre;Formado;N;F;1;0;0;1;0;0;0;2
10 L;Física - Licenciatura;2019;1º Semestre;Formado;N;M;0;0;0;1;0;0;0;1
12;Matemática;2019;1º Semestre;Adaptação Curricular;S;M;0;0;0;1;0;0;0;1
12;Matemática;2019;1º Semestre;Desistência;N;F;0;0;0;1;0;0;0;1
12;Matemática;2019;1º Semestre;Desistência;N;M;1;1;0;0;0;0;1;3
12;Matemática;2019;1º Semestre;Desistência;S;F;0;0;0;1;0;0;0;1
12;Matemática;2019;1º Semestre;Desligamento: Resolução 68/2017-CEPE;N;F;1;0;0;4;0;0;1;6
12;Matemática;2019;1º Semestre;Desligamento: Resolução 68/2017-CEPE;N;M;6;0;0;4;0;0;1;11
12;Matemática;2019;1º Semestre;Desligamento: Resolução 68/2017-CEPE;S;F;0;0;0;0;0;0;1;1
12;Matemática;2019;1º Semestre;Desligamento: Resolução 68/2017-CEPE;S;M;0;0;0;2;0;0;0;2
12;Matemática;2019;1º Semestre;Reopção de curso;N;M;1;0;0;0;0;0;0;1
12 B;Matemática - Bacharelado;2019;1º Semestre;Desistência;N;M;2;0;0;0;0;0;0;2
12 B;Matemática - Bacharelado;2019;1º Semestre;Desistência;S;F;0;0;0;1;0;0;0;1
12 B;Matemática - Bacharelado;2019;1º Semestre;Desligamento: Resolução 68/2017-CEPE;N;F;0;0;0;1;0;0;1;2
12 B;Matemática - Bacharelado;2019;1º Semestre;Desligamento: Resolução 68/2017-CEPE;N;M;2;4;0;2;0;0;0;8
12 B;Matemática - Bacharelado;2019;1º Semestre;Formado;N;F;0;1;0;0;0;0;0;1
12 L;Matemática - Licenciatura;2019;1º Semestre;Adaptação Curricular;N;M;0;1;0;0;0;0;0;1
12 L;Matemática - Licenciatura;2019;1º Semestre;Desistência;S;F;0;0;0;2;0;0;0;2
12 L;Matemática - Licenciatura;2019;1º Semestre;Desistência;S;M;0;0;0;1;0;0;0;1
12 L;Matemática - Licenciatura;2019;1º Semestre;Formado;N;F;5;0;0;1;0;0;0;6
12 L;Matemática - Licenciatura;2019;1º Semestre;Formado;S;M;0;0;0;1;0;0;0;1
16;Estatística;2019;1º Semestre;Adaptação Curricular;N;F;2;0;0;1;0;0;0;3
16;Estatística;2019;1º Semestre;Adaptação Curricular;N;M;2;0;0;2;0;0;0;4
16;Estatística;2019;1º Semestre;Adaptação Curricular;S;F;1;0;0;2;0;0;0;3
16;Estatística;2019;1º Semestre;Adaptação Curricular;S;M;1;0;0;1;0;0;0;2
16;Estatística;2019;1º Semestre;Desistência;N;F;1;0;0;1;0;0;0;2
16;Estatística;2019;1º Semestre;Desistência;N;M;4;2;0;1;0;0;0;7
16;Estatística;2019;1º Semestre;Desistência;S;F;0;0;0;2;0;0;0;2
16;Estatística;2019;1º Semestre;Desistência;S;M;3;1;0;1;0;0;0;5
16;Estatística;2019;1º Semestre;Desligamento: Resolução 68/2017-CEPE;N;F;3;0;0;1;0;0;0;4
16;Estatística;2019;1º Semestre;Desligamento: Resolução 68/2017-CEPE;N;M;0;1;0;1;0;0;0;2
16;Estatística;2019;1º Semestre;Desligamento: Resolução 68/2017-CEPE;S;M;1;0;0;0;0;0;0;1
16;Estatística;2019;1º Semestre;Formado;N;F;3;0;0;0;0;0;0;3
16;Estatística;2019;1º Semestre;Formado;N;M;0;0;0;1;0;0;0;1
16;Estatística;2019;1º Semestre;Formado;S;F;0;0;0;1;0;0;0;1
16;Estatística;2019;1º Semestre;Formado;S;M;1;0;0;0;0;0;0;1
16;Estatística;2019;1º Semestre;Transferido;S;M;0;0;0;1;0;0;0;1
32;Química;2019;1º Semestre;Desligamento: Resolução 68/2017-CEPE;N;F;1;0;0;0;0;0;0;1
32 B;Química - Bacharelado;2019;1º Semestre;Desistência;N;F;5;0;0;1;0;0;0;6
32 B;Química - Bacharelado;2019;1º Semestre;Desistência;N;M;1;1;0;2;0;0;0;4
32 B;Química - Bacharelado;2019;1º Semestre;Desistência;S;F;0;0;0;4;0;0;0;4
32 B;Química - Bacharelado;2019;1º Semestre;Desistência;S;M;3;0;0;4;0;0;0;7
32 B;Química - Bacharelado;2019;1º Semestre;Desligamento: Resolução 68/2017-CEPE;N;F;1;0;0;0;0;0;0;1
32 B;Química - Bacharelado;2019;1º Semestre;Desligamento: Resolução 68/2017-CEPE;N;M;3;0;0;0;0;0;0;3
32 B;Química - Bacharelado;2019;1º Semestre;Desligamento: Resolução 68/2017-CEPE;S;F;0;0;0;1;0;0;0;1
32 B;Química - Bacharelado;2019;1º Semestre;Desligamento: Resolução 68/2017-CEPE;S;M;1;0;0;0;0;0;0;1
32 B;Química - Bacharelado;2019;1º Semestre;Formado;N;F;1;0;0;0;0;0;0;1
32 B;Química - Bacharelado;2019;1º Semestre;Formado;N;M;2;0;0;2;0;0;0;4
32 B;Química - Bacharelado;2019;1º Semestre;Formado;S;M;0;1;0;0;0;0;0;1
32 B;Química - Bacharelado;2019;1º Semestre;Reopção de curso;N;F;1;0;0;0;0;0;1;2
32 B;Química - Bacharelado;2019;1º Semestre;Reopção de curso;N;M;1;0;0;1;0;0;0;2
32 B;Química - Bacharelado;2019;1º Semestre;Reopção de curso;S;F;1;0;0;0;0;0;0;1
32 B;Química - Bacharelado;2019;1º Semestre;Reopção de curso;S;M;1;0;0;1;0;0;0;2
32 L;Química - Licenciatura;2019;1º Semestre;Desistência;N;F;4;0;0;0;0;0;0;4
32 L;Química - Licenciatura;2019;1º Semestre;Desistência;N;M;1;0;0;0;0;0;0;1
32 L;Química - Licenciatura;2019;1º Semestre;Desistência;S;F;1;0;0;2;0;0;0;3
32 L;Química - Licenciatura;2019;1º Semestre;Desligamento: Resolução 68/2017-CEPE;N;F;1;0;0;0;0;0;0;1
32 L;Química - Licenciatura;2019;1º Semestre;Desligamento: Resolução 68/2017-CEPE;N;M;1;0;0;1;0;0;0;2
32 L;Química - Licenciatura;2019;1º Semestre;Formado;N;F;1;0;0;0;0;0;0;1
32 L;Química - Licenciatura;2019;1º Semestre;Formado;N;M;1;0;0;1;0;0;0;2
32 L;Química - Licenciatura;2019;1º Semestre;Reopção de curso;S;M;1;0;0;0;0;0;0;1
10 B;Física - Bacharelado;2019;2º Semestre;Desistência;N;F;0;1;0;0;0;0;0;1
10 B;Física - Bacharelado;2019;2º Semestre;Desistência;N;M;2;0;0;0;0;0;0;2
10 B;Física - Bacharelado;2019;2º Semestre;Desistência;S;F;1;0;0;0;0;0;0;1
10 B;Física - Bacharelado;2019;2º Semestre;Desistência;S;M;0;0;0;1;0;0;0;1
10 B;Física - Bacharelado;2019;2º Semestre;Desligamento: Resolução 68/2017-CEPE;N;F;1;0;0;2;0;0;0;3
10 B;Física - Bacharelado;2019;2º Semestre;Desligamento: Resolução 68/2017-CEPE;N;M;4;0;0;5;0;0;0;9
10 B;Física - Bacharelado;2019;2º Semestre;Desligamento: Resolução 68/2017-CEPE;S;F;0;0;0;1;0;0;0;1
10 B;Física - Bacharelado;2019;2º Semestre;Desligamento: Resolução 68/2017-CEPE;S;M;0;2;0;6;0;0;0;8
10 B;Física - Bacharelado;2019;2º Semestre;Formado;N;F;3;0;0;1;0;0;0;4
10 B;Física - Bacharelado;2019;2º Semestre;Formado;N;M;2;0;0;1;0;0;0;3
10 L;Física - Licenciatura;2019;2º Semestre;Desistência;N;M;2;0;0;1;0;0;0;3
10 L;Física - Licenciatura;2019;2º Semestre;Desistência;S;M;0;0;0;1;0;0;0;1
10 L;Física - Licenciatura;2019;2º Semestre;Desligamento: Resolução 68/2017-CEPE;N;F;0;1;0;0;0;0;0;1
10 L;Física - Licenciatura;2019;2º Semestre;Desligamento: Resolução 68/2017-CEPE;N;M;4;0;0;2;0;0;0;6
10 L;Física - Licenciatura;2019;2º Semestre;Desligamento: Resolução 68/2017-CEPE;S;M;0;0;0;1;0;0;0;1
10 L;Física - Licenciatura;2019;2º Semestre;Formado;N;F;1;0;0;0;0;0;0;1
10 L;Física - Licenciatura;2019;2º Semestre;Formado;N;M;1;0;0;0;0;0;0;1
10 L;Física - Licenciatura;2019;2º Semestre;Formado;S;M;1;0;0;0;0;0;0;1
12;Matemática;2019;2º Semestre;Desligamento: Resolução 68/2017-CEPE;N;M;1;0;0;0;0;0;0;1
12;Matemática;2019;2º Semestre;Desligamento: Resolução 68/2017-CEPE;S;F;1;0;0;1;0;0;0;2
12 B;Matemática - Bacharelado;2019;2º Semestre;Desistência;N;M;2;0;0;0;0;0;0;2
12 B;Matemática - Bacharelado;2019;2º Semestre;Desistência;S;M;0;0;0;1;0;0;0;1
12 B;Matemática - Bacharelado;2019;2º Semestre;Formado;N;M;1;0;0;0;0;0;1;2
12 B;Matemática - Bacharelado;2019;2º Semestre;Formado;S;F;1;0;0;0;0;0;0;1
12 L;Matemática - Licenciatura;2019;2º Semestre;Formado;N;M;2;0;0;0;0;0;1;3
16;Estatística;2019;2º Semestre;Desistência;N;F;0;0;0;1;0;0;0;1
16;Estatística;2019;2º Semestre;Desistência;N;M;2;0;0;1;0;0;0;3
16;Estatística;2019;2º Semestre;Formado;N;F;0;0;0;1;0;0;0;1
16;Estatística;2019;2º Semestre;Formado;N;M;1;0;0;1;0;0;0;2
16;Estatística;2019;2º Semestre;Formado;S;F;0;1;0;1;0;0;0;2
32 B;Química - Bacharelado;2019;2º Semestre;Desistência;N;M;1;0;0;0;0;0;0;1
32 B;Química - Bacharelado;2019;2º Semestre;Desistência;S;F;0;0;0;2;0;0;0;2
32 B;Química - Bacharelado;2019;2º Semestre;Desligamento: Resolução 68/2017-CEPE;N;M;0;1;0;2;0;0;0;3
32 B;Química - Bacharelado;2019;2º Semestre;Desligamento: Resolução 68/2017-CEPE;S;F;1;1;0;1;0;0;0;3
32 B;Química - Bacharelado;2019;2º Semestre;Desligamento: Resolução 68/2017-CEPE;S;M;1;0;0;0;0;0;0;1
32 B;Química - Bacharelado;2019;2º Semestre;Formado;N;F;2;1;0;2;0;0;0;5
32 B;Química - Bacharelado;2019;2º Semestre;Formado;N;M;2;0;0;0;0;0;0;2
32 B;Química - Bacharelado;2019;2º Semestre;Formado;S;F;1;0;0;3;0;0;0;4
32 B;Química - Bacharelado;2019;2º Semestre;Formado;S;M;4;0;0;2;0;0;0;6
32 L;Química - Licenciatura;2019;2º Semestre;Desligamento: Resolução 68/2017-CEPE;N;M;1;0;0;1;0;0;0;2
32 L;Química - Licenciatura;2019;2º Semestre;Formado;N;F;1;0;0;2;0;0;0;3
