COD_CURSO;NOME_CURSO;ANO_EVASAO;PERIODO_EVASAO;FORMA_EVASAO;COTISTA;SEXO;ET_BRANCA;ET_PRETA;ET_AMARELA;ET_PARDA;ET_INDIGINA;ET_NAO_INFORMADO;ET_NAO_DECLARADA;QTDE
12 B;Matemática - Bacharelado;2015;1º Semestre;Formado;N;F;1;0;0;0;0;0;0;1
16;Estatística;2015;1º Semestre;Desistência;N;F;0;1;0;0;0;0;0;1
16;Estatística;2015;1º Semestre;Desistência;N;M;1;0;0;0;0;0;0;1
16;Estatística;2015;1º Semestre;Desistência;S;M;1;0;0;0;0;0;0;1
16;Estatística;2015;1º Semestre;Desligamento por Abandono;N;F;2;0;0;5;0;0;0;7
16;Estatística;2015;1º Semestre;Desligamento por Abandono;N;M;2;0;0;2;0;0;0;4
16;Estatística;2015;1º Semestre;Desligamento: 3 reprovações em 1 disciplina;N;M;1;0;0;1;0;0;0;2
16;Estatística;2015;1º Semestre;Formado;N;F;1;1;0;1;0;0;0;3
16;Estatística;2015;1º Semestre;Formado;N;M;3;0;0;1;0;0;0;4
32;Química;2015;1º Semestre;Desligamento por Abandono;N;F;3;0;0;1;0;0;0;4
32;Química;2015;1º Semestre;Desligamento por Abandono;N;M;3;1;0;1;0;0;0;5
32;Química;2015;1º Semestre;Desligamento: 3 reprovações em 1 disciplina;N;F;1;0;0;0;0;0;0;1
32;Química;2015;1º Semestre;Desligamento: 3 reprovações em 1 disciplina;N;M;1;0;0;1;0;0;0;2
32 B;Química - Bacharelado;2015;1º Semestre;Desistência;N;F;1;0;0;0;0;0;0;1
32 B;Química - Bacharelado;2015;1º Semestre;Desistência;N;M;3;0;0;3;0;0;0;6
32 B;Química - Bacharelado;2015;1º Semestre;Desistência;S;F;0;0;0;2;0;0;0;2
32 B;Química - Bacharelado;2015;1º Semestre;Desistência;S;M;1;1;0;0;0;0;0;2
32 B;Química - Bacharelado;2015;1º Semestre;Desligamento por Abandono;N;F;6;0;0;0;0;0;0;6
32 B;Química - Bacharelado;2015;1º Semestre;Desligamento por Abandono;N;M;9;2;0;0;0;0;0;11
32 B;Química - Bacharelado;2015;1º Semestre;Desligamento por Abandono;S;F;1;0;0;0;0;0;0;1
32 B;Química - Bacharelado;2015;1º Semestre;Desligamento por Abandono;S;M;0;0;0;1;0;0;0;1
32 B;Química - Bacharelado;2015;1º Semestre;Desligamento: 3 reprovações em 1 disciplina;N;F;2;0;0;1;0;0;0;3
32 B;Química - Bacharelado;2015;1º Semestre;Desligamento: 3 reprovações em 1 disciplina;N;M;3;0;0;0;0;0;0;3
32 B;Química - Bacharelado;2015;1º Semestre;Desligamento: 3 reprovações em 1 disciplina;S;F;0;1;0;0;0;0;0;1
32 B;Química - Bacharelado;2015;1º Semestre;Formado;N;F;5;0;0;1;0;0;2;8
32 L;Química - Licenciatura;2015;1º Semestre;Desistência;N;F;0;0;0;1;0;0;0;1
32 L;Química - Licenciatura;2015;1º Semestre;Desistência;N;M;2;0;0;0;0;0;0;2
32 L;Química - Licenciatura;2015;1º Semestre;Desligamento por Abandono;N;F;0;1;0;0;0;0;0;1
32 L;Química - Licenciatura;2015;1º Semestre;Desligamento por Abandono;N;M;1;1;0;2;0;0;0;4
32 L;Química - Licenciatura;2015;1º Semestre;Desligamento por Abandono;S;F;1;0;0;1;0;0;0;2
32 L;Química - Licenciatura;2015;1º Semestre;Desligamento: 3 reprovações em 1 disciplina;N;F;0;0;0;1;0;0;0;1
32 L;Química - Licenciatura;2015;1º Semestre;Desligamento: 3 reprovações em 1 disciplina;N;M;2;0;0;0;0;0;0;2
32 L;Química - Licenciatura;2015;1º Semestre;Formado;N;M;0;0;0;1;0;0;0;1
10 B;Física - Bacharelado;2015;2º Semestre;Desistência;N;F;2;0;0;2;0;0;0;4
10 B;Física - Bacharelado;2015;2º Semestre;Desistência;N;M;5;0;0;2;0;0;0;7
10 B;Física - Bacharelado;2015;2º Semestre;Desistência;S;M;0;0;0;2;0;0;0;2
10 B;Física - Bacharelado;2015;2º Semestre;Desligamento por Abandono;N;F;2;0;0;1;0;0;0;3
10 B;Física - Bacharelado;2015;2º Semestre;Desligamento por Abandono;N;M;5;0;1;3;0;0;1;10
10 B;Física - Bacharelado;2015;2º Semestre;Desligamento: 3 reprovações em 1 disciplina;N;M;1;0;0;2;0;0;0;3
10 B;Física - Bacharelado;2015;2º Semestre;Formado;N;F;0;0;0;1;0;0;0;1
10 B;Física - Bacharelado;2015;2º Semestre;Formado;N;M;3;0;0;1;0;0;0;4
10 B;Física - Bacharelado;2015;2º Semestre;Reopção de Curso;N;F;0;1;0;0;0;0;0;1
10 B;Física - Bacharelado;2015;2º Semestre;Reopção de Curso;N;M;2;0;0;0;0;0;0;2
10 B;Física - Bacharelado;2015;2º Semestre;Transferido;N;M;0;0;0;1;0;0;0;1
10 L;Física - Licenciatura;2015;2º Semestre;Desistência;N;F;0;0;0;1;0;0;0;1
10 L;Física - Licenciatura;2015;2º Semestre;Desistência;N;M;0;0;0;4;0;0;0;4
